"DOY" "Depth" "TIN"
294 199.6 3.75
294 315.5 4.59
294 401.9 7.16
294 120.1 0.12
294 141.7 0.5
294 198 1.3
294 301.1 7.39
294 403.3 7.39
294 118.5 0.28
294 200 1.88
294 349.3 3.68
294 400.4 4.55
295 252.3 1.22
295 298.8 3.98
295 400 7.14
295 140.4 0.04
295 200.6 1.32
295 299.2 3.89
295 140.1 0.38
295 202.1 0.39
295 300.6 2.51
296 79.7 0.05
296 120.1 0.04
296 140.3 0.36
296 202.6 1.34
296 301.8 3.1
296 3.6 0.03
296 61.1 0.03
296 98.4 0.04
296 120.9 0.23
296 139.8 1.14
296 200.7 3.23
296 298.5 4.07
296 381.3 4.65
297 4.2 0.04
297 59.3 0.03
297 77.4 0.03
297 99.4 0.03
297 119.1 0.11
297 142.4 1.37
297 197.3 3.49
297 299.9 4.28
297 3.8 0.03
297 79.4 0.04
297 101.7 0.03
297 111.7 0.03
297 141.3 0.11
297 249.3 3.36
297 350.8 4.09
298 4.1 0.05
298 57.9 0.05
298 78.6 0.04
298 100.9 0.04
298 119.8 0.13
298 139 0.37
298 250.6 3.84
298 348.1 4.26
298 300.9 4.83
298 497 13.9
299 139.4 1.61
299 194.1 2.41
299 300.3 3.91
299 5.5 0.05
299 79.6 0.05
299 111 0.74
299 140.7 1.8
299 203.6 7.87
299 301 20.99
299 494.9 28.45
302 120.5 0.22
302 4.2 0.03
302 61.7 0.03
302 120.7 0.34
302 141.2 1.2
302 239.9 4.03
302 280.7 4.6
302 319.9 5.32
330 87.8 0.05
330 99.8 0.83
330 121.6 1.47
330 200.9 2.73
330 300 3.94
330 404.6 4.86
330 4.3 0.07
330 100.5 0.06
330 120.8 1.45
330 202.8 2.97
330 300.1 3.83
